SKU,Inventario,Precio normal
LVEL12580-9,0.0,1950.01
MATLA-9,0.0,20801.12
MATLNJ-9,0.0,20801.07
MCSL12L-8,1.0,78003.58
MZ54S,0.0,15429086.18
NAV164,0.0,10000.63
NAV165,0.0,10000.63
NAV166,0.0,10000.63
NAV30,6280.0,14.5
NAV33,16648.0,69.49
NAV540,0.0,1507.9
NAV627,0.0,15358.08
NAV720,3749.0,741.94
LL-32,0.0,86668.66
LQAL-065,0.0,39001.69
LQFLUX091,0.0,18200.82
LVEL12540-9,0.0,1950.01
LVEL12560-9,0.0,1950.01
MATLB-9,7.0,22101.06
MATLN-9,0.0,20801.12
MATLV-9,4.0,22101.06
MFOS26-9,0.0,5200.27
MFOS35-9,0.0,6500.35
MM13M-9,0.0,5200.23
MM13MK-9,0.0,6500.33
MPPL274-8,3.0,351016.35
MT18LXTBLQSL,0.0,673338.94
NAV353,3.0,96.52
NAV520,0.0,1507.9
NAV521,0.0,1507.9
NAV522,0.0,1507.9
NAV530,0.0,10000.63
NAV628,0.0,21940.86
NAV721,2482.0,927.45
NAV722,2492.0,1284.83
P800K,0.0,27306.59
Pro Pruner,1.0,215011.68
PSDSP20L-9,0.0,1820.02
PYC-7,40.0,11280.15
RK300R10,3.0,106852.32
RL19AR01,0.0,2738.93
RNC,25.0,19138.96
SB16,25.0,5692.69
SBSL24-9,0.0,702032.99
SBSL48-9,0.0,806037.83
SSW18LTX1450BL,0.0,1017049.07
TACSR0121,0.0,27863.06
TB-13,1.0,92605.22
TDLI1241,0.0,49596.38
TG1121256-4,3.0,79639.54
TGMB1518,1.0,36401.68
TH110266-4,0.0,111283.86
TIDLI20031-4,0.0,190621.79
TIRLI1201-4,0.0,102910.17
TJSLI8501,0.0,102903.68
TMLI2001,0.0,62067.75
TOBPLI228120,0.0,29046.79
TRF-45E,36.0,20697.67
TS1222356,0.0,220016.5
TS2045565-4,0.0,48033.35
PB-100,0.0,75403.8
PR1800-1,686.0,8586.68
PRE-2,-1.0,27470.55
PU1004,247.0,13606.89
QC150,0.0,25868.43
RK300R09,8.0,10698.19
RSG18LTX15,0.0,901549.44
RTL19R01,0.0,2738.93
RTL7509R01,0.0,2738.93
SB18LT,0.0,196066.36
SB2134,0.0,119777.37
SBSL110-9,0.0,871040.78
SBSL72-9,0.0,702032.99
SLL4-7,0.0,9750.42
SSE1100,0.0,431433.23
SSW18LTX1750BL,0.0,1086006.46
ST-OX,1.0,601536.88
SWP255A,0.0,162507.61
TS5152542-4,0.0,624542.13
TSLI1651,0.0,135069.46
TUCLI1201,6.0,0.61
TVLI2005,0.0,133558.13
WEP17-125Q,0.0,372107.9
TAPLI2001,0.0,165916.8
TBL710-9D,0.0,225576.62
TBS18LTXBL5000,0.0,536059.1
TCLI12081,7.0,8406.64
TDLI1232-4,0.0,90541.73
TDLI20011-4,0.0,96150.39
TG12018026-4,6.0,145360.48
TG1252306,8.0,161356.6
TG55061-4,5.0,67303.35
TGTLI20018,3.0,67605.56
TH116386-4,1.0,222203.76
THPTCS70971,2.0,286090.05
THT101066,0.0,6850.1
THT7220006,0.0,14446.07
THT74246,0.0,8342.19
THTS721000,0.0,10246.17
TIDLI1232-4,0.0,103257.48
TIDLI20608-4,0.0,253255.25
TIDLI228121,0.0,102910.17
TIL23-8KB,0.0,65232.87
TIRLI2002,2.0,238687.36
TLT6001-4,0.0,73085.52
TMT321506,0.0,35995.03
TMT4100041,0.0,93204.45
TMT460012,0.0,15777.01
TOC228120,0.0,11300.87
TRHLI2201,2.0,173068.88
TSLI1401,0.0,103392.54
TUCLI2001,4.0,12825.18
TVLI2001,1.0,75085.84
W18L9-125Q,1.0,425266.38
WB18LTXBL180,-1.0,700830.54
WE2400-180,0.0,372107.9
WE26-230MVTQ,0.0,477652.59
WP11-125,0.0,218822.91
WPB18LTBL11-125,0.0,646759.3
